UID          PID    PPID  C STIME TTY          TIME CMD
message+     435       1  0 14:02 ?        00:00:02 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         436       1  0 14:02 ?        00:00:01 /usr/sbin/NetworkManager --no-daemon
root         438       1  0 14:02 ?        00:00:00 /usr/sbin/dundee -n
root         445       1  0 14:02 ?        00:00:00 /usr/sbin/irqbalance --foreground
root         448       1  0 14:02 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root         449       1  0 14:02 ?        00:00:00 /usr/sbin/ofonod -n
root         451       1  0 14:02 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
syslog       453       1  0 14:02 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root         456       1  0 14:02 ?        00:00:01 /lib/systemd/systemd-logind
root         459       1  0 14:02 ?        00:00:00 /lib/systemd/systemd-machined
root         464       1  0 14:02 ?        00:00:00 /usr/lib/udisks2/udisksd
root         468       1  0 14:02 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi        476     431  0 14:02 ?        00:00:00 avahi-daemon: chroot helper
root         520       1  0 14:02 ?        00:00:00 /usr/sbin/cupsd -l
root         537       2  0 14:02 ?        00:00:00 [iprt-VBoxWQueue]
root         560       2  0 14:02 ?        00:00:00 [kworker/4:3-events]
root         579       1  0 14:02 ?        00:00:00 /usr/sbin/cups-browsed
root         583       1  0 14:02 ?        00:00:02 /usr/sbin/libvirtd
root         585       1  0 14:02 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         590       1  0 14:02 ?        00:00:07 /usr/bin/containerd
root         592       1  0 14:02 ?        00:00:00 /usr/sbin/ModemManager --filter-policy=strict
whoopsie     709       1  0 14:02 ?        00:00:00 /usr/bin/whoopsie -f
kernoops     720       1  0 14:02 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops     722       1  0 14:02 ?        00:00:00 /usr/sbin/kerneloops
root         906       2  0 14:02 ?        00:00:00 bpfilter_umh
libvirt+    1091       1  0 14:02 ?        00:00:00 /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/lib/libvirt/libvirt_leaseshelper
root        1093    1091  0 14:02 ?        00:00:00 /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/lib/libvirt/libvirt_leaseshelper
root        1264       2  0 14:02 ?        00:00:00 [loop5]
root        1274       1  0 14:02 ?        00:00:03 /usr/lib/snapd/snapd
root        1481       1  0 14:02 ?        00:00:00 /usr/bin/sddm
root        1491       1  0 14:02 ?        00:00:00 /usr/sbin/VBoxService --pidfile /var/run/vboxadd-service.sh
root        1504    1481  1 14:02 tty1     00:00:12 /usr/lib/xorg/Xorg -nolisten tcp -auth /var/run/sddm/{cc0c42d1-5e75-49e5-bc56-ca93f6c3cbe6} -background none -noreset -displayfd 17 -seat seat0 vt1
rtkit       1525       1  0 14:02 ?        00:00:00 /usr/libexec/rtkit-daemon
root        1533       1  0 14:02 ?        00:00:00 /usr/lib/bluetooth/bluetoothd
